publishedDate,description,severity,latitude,longitude,type
1-1-2024,Repeated port scans detected from same source IP — reconnaissance activity observed.,High,51.33167305,82.44258049,Phishing
1-2-2024,Suspicious PowerShell command execution — potential malware beaconing.,Critical,-54.05871921,97.65732481,Malware
1-3-2024,Frequent failed login attempts from same IP — brute-force behavior likely.,Low,2.562198914,-153.3439254,DDoS
1-4-2024,Abnormal HTTP request rate targeting a single endpoint — web application DoS attempt.,High,16.6346224,-50.95233772,Malware
1-5-2024,Traffic pattern resembles UDP flood — network bandwidth exhaustion attempt.,High,-81.63892571,-138.2871386,Malware
1-6-2024,Anomalous DNS traffic volume — may indicate data tunneling attempt.,Critical,19.35807334,130.7172333,Ransomware
1-7-2024,Traffic pattern resembles UDP flood — network bandwidth exhaustion attempt.,Low,-59.30565774,44.38732566,Ransomware
1-8-2024,Outbound traffic spike to a foreign IP range — possible data exfiltration attempt.,Low,-78.29071326,-60.87671105,Phishing
1-9-2024,Multiple SYN packets from a single IP in a short interval — potential SYN flood attack.,High,80.79939671,-157.1189939,DDoS
1-10-2024,HTTP request patterns indicate automated scanning tool activity.,Medium,83.81376595,-68.04636418,Ransomware
1-11-2024,Outbound traffic spike to a foreign IP range — possible data exfiltration attempt.,High,55.51152266,-62.93400407,Malware
1-12-2024,Repeated port scans detected from same source IP — reconnaissance activity observed.,High,-35.16952155,82.6582242,Phishing
1-13-2024,Unexpected outbound SMTP connections — possible spam bot behavior.,High,-72.41901948,49.52068969,Malware
1-14-2024,Anomalous DNS traffic volume — may indicate data tunneling attempt.,High,33.16194477,139.3965873,Malware
1-15-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Critical,-10.77255113,-10.00262694,Ransomware
1-16-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Low,-68.03311773,-136.9460715,Phishing
1-17-2024,Unauthorized access attempt to admin interface from external IP — potential credential stuffing.,Critical,-0.86815618,76.7681234,DDoS
1-18-2024,Unexpected outbound SMTP connections — possible spam bot behavior.,Critical,-83.8100662,93.8826175,DDoS
1-19-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Critical,73.67767237,22.05979113,Ransomware
1-20-2024,Excessive ARP broadcasts — possible man-in-the-middle setup attempt.,High,-43.41960331,97.54818478,Ransomware
1-21-2024,High outbound DNS queries with random subdomains — possible DGA-based botnet communication.,Medium,29.25401118,-2.233585309,Phishing
1-22-2024,Unusual number of login attempts on SSH port — suspected brute-force attack.,Low,-33.8920063,8.183818578,DDoS
1-23-2024,Repeated file transfers to unknown external IP — exfiltration behavior detected.,Medium,3.612243812,-26.08523339,DDoS
1-24-2024,Abnormal HTTP request rate targeting a single endpoint — web application DoS attempt.,Critical,8.407850282,-170.8491144,DDoS
1-25-2024,Large number of ICMP echo requests — may indicate ping flood activity.,Critical,-56.72619801,-141.1590863,Malware
1-26-2024,Unauthorized access attempt to admin interface from external IP — potential credential stuffing.,Medium,84.525233,-168.6854932,DDoS
1-27-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Medium,49.52390821,49.10774805,Malware
1-28-2024,High number of failed RDP sessions — brute-force or credential stuffing attempt.,Medium,79.10980948,-66.83184681,Phishing
1-29-2024,Unusual number of login attempts on SSH port — suspected brute-force attack.,Critical,71.06892308,3.085448819,Malware
1-30-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Critical,17.62199619,146.7239306,Phishing
1-31-2024,Large number of ICMP echo requests — may indicate ping flood activity.,Low,75.9373623,-90.25479751,DDoS
2-1-2024,Outbound traffic spike to a foreign IP range — possible data exfiltration attempt.,Low,-74.07134963,-32.26214771,DDoS
2-2-2024,Traffic pattern resembles UDP flood — network bandwidth exhaustion attempt.,Critical,-54.72308476,91.99840988,Phishing
2-3-2024,Repeated port scans detected from same source IP — reconnaissance activity observed.,Medium,-81.859088,-97.63266042,Ransomware
2-4-2024,Repeated file transfers to unknown external IP — exfiltration behavior detected.,Medium,-31.44054046,-152.2872325,Phishing
2-5-2024,Multiple SYN packets from a single IP in a short interval — potential SYN flood attack.,Low,-20.03808786,-75.68947695,Ransomware
2-6-2024,High number of failed RDP sessions — brute-force or credential stuffing attempt.,Critical,-41.15717428,-121.9603366,Malware
2-7-2024,High number of failed RDP sessions — brute-force or credential stuffing attempt.,Low,59.17275165,154.6911548,Malware
2-8-2024,Unexpected outbound SMTP connections — possible spam bot behavior.,Low,-25.7844012,110.9233366,Malware
2-9-2024,Unauthorized access attempt to admin interface from external IP — potential credential stuffing.,High,-39.43178826,48.02535234,DDoS
2-10-2024,High outbound DNS queries with random subdomains — possible DGA-based botnet communication.,High,7.685294968,133.7258125,Malware
2-11-2024,Anomalous DNS traffic volume — may indicate data tunneling attempt.,High,-64.6336395,109.3219477,Ransomware
2-12-2024,"Short-burst, high-volume UDP packets — potential amplification attack.",Medium,54.39545654,-112.8347788,Malware
2-13-2024,HTTP request patterns indicate automated scanning tool activity.,Critical,-76.58088414,141.3212395,Phishing
2-14-2024,Suspicious PowerShell command execution — potential malware beaconing.,Critical,87.63964859,14.16320709,Phishing
2-15-2024,Repeated port scans detected from same source IP — reconnaissance activity observed.,Critical,49.00405847,110.6784559,DDoS
2-16-2024,Abnormal HTTP request rate targeting a single endpoint — web application DoS attempt.,Critical,-54.23117732,142.592868,Phishing
2-17-2024,Frequent failed login attempts from same IP — brute-force behavior likely.,High,-89.00601892,-65.51874901,Ransomware
2-18-2024,Repeated file transfers to unknown external IP — exfiltration behavior detected.,Medium,56.78305712,-140.3813072,Malware
2-19-2024,Excessive ARP broadcasts — possible man-in-the-middle setup attempt.,Medium,37.23432189,-97.94334148,DDoS
